latin,dhivehi
Emmenge haalu rangalhu: Hajju mission,ހުރިހާ ހައްޖުވެރިން ތިބީ މައްކާގައި، އެންމެންގެ ހާލު ރަނގަޅު: ހައްޖު މިޝަން
2 vana quarter gai BML ge saafu faidhaa 448 million ah,ދެ ވަނަ ކުއާޓަރުގައި ބީއެމްއެލްއަށް 448 މިލިއަންގެ ސާފު ފައިދާއެއް
000 form balaafai: Muhthalib,4،000ގެ ބާކީ ފްލެޓްތައް ލިބޭ މީހުން ކަނޑައަޅާނީ 15،000 ފޯމު ވެރިފައިކޮށްފައި: މުއްތަލިބު
Rajjeyge emme haluvi 5G network ge award Dhiraagu ah,ރާއްޖޭގެ އެންމެ ހަލުވި 5ޖީ ނެޓްވޯކުގެ އެވޯޑު ދިރާގަށް
Atholhu Champion Dhidhdhoo aai Naivaadhoo feshy gadhakoh,އަތޮޅު ޗެމްޕިއަން ދިއްދު އާއި ނައިވާދޫ ފެށީ ގަދަކޮށް
3 Ministry ge hidhumaithah maadhama Dharubaarugeygai dheyn fashaane,ތިން މިނިސްޓްރީގެ ހިދުމަތްތައް ދަރުބާރުގޭގައި މާދަމާ ދޭން ފަށާނެ
Dhuniye ge thimaavesheege dhuvas: Jazeeraa gaumuthah moosumee kulli nurakkalun salaamaiy kuran jehey,ދުނިޔޭގެ ތިމާވެށީގެ ދުވަސް: ޖަޒީރާ ގައުމުތައް މޫސުމީ ކުއްލި ނުރައްކަލުގެ ހާލަތުން ރައްކާތެރިކުރަން ޖެހޭ
Hoarafushi ge bottling plant ge masakkaiy huttaalai muvazzafun vaki kuraathee MDP in kanbodu vejje,ހޯރަފުށީގެ ބޮޓްލިން ޕްލާންޓުގެ މަސައްކަތް ހުއްޓާލައި މުވައްޒަފުން ވަކިކުރާތީ އެމްޑީޕީން ކަންބޮޑުވެއްޖެ
Eyecare ge Sunny Saturday promotion anna honihiru dhuvahu ves onnaane,"އައިކެއާގެ ""ސަނީ ސަޓަޑޭ"" ޕްރޮމޯޝަން އަންނަ ހޮނިހިރު ދުވަހު ވެސް އޮންނާނެ"
Maafusheegai MIB ge ATM center eh hulhuvaifi,މާފުށީގައި އެމްއައިބީގެ އޭޓީއެމް ސެންޓަރެއް ހުޅުވައިފި
Drug oi demand kuran vuzara thah gulhigen muhimmu masakkaiythakeh eba kurevey: Ihusan,ޑްރަގަށް އޮތް ޑިމާންޑު ކުޑަކުރަން ވުޒާރާތައް ގުޅިގެން މުހިންމު މަސައްކަތްތަކެއް އެބަ ކުރެވޭ: އިހުސާން
Mifaharuge Dhiraagu road race ves kuda kudhin ge hagguthakah,މިފަހަރު ދިރާގު ރޯޑް ރޭސް ވެސް ކުޑަކުދިންގެ ހައްގުތަކަށް
Beyru faisa inn aamdhanee libey kunfunithakun Bank medhuverikoh maaru kuran majubooru kuranee,ބަދަލުތަކާ އެކު އަޅުގަނޑު ދެކެ ބަޔަކު ރުޅި އަތުވެދާނެ، އެކަމަކު ހުންނާނީ ރައްޔިތުންގެ ފަޅީގައި: ރައީސް
jazubaathu thakun furifai,ރެއާލްގައި އެންޑްރިކްގެ ތައާރަފު ފެނިލުން، ޖަޒުބާތުތަކުން ފުރިފައި
reygandu vandhen baru ulhandhu nudhuvveyne,އީދު ދުވަހުގެ ހަވީރު ވެހިކަލް ދުއްވުން މަނާ، ރޭގަނޑު ވަންދެން ބަރު އުޅަނދު ނުދުއްވޭނެ
Broadcom ge SG ge magaamun zeeniya vaki koffi,ބްރޯޑްކޮމްގެ އެސްޖީގެ މަގާމުން ޒީނިޔާ ވަކިކޮށްފި
Sulhayah kuraa konme kamakun magu fahivaan jeheyenee Palestine ge dhaulathakah: Starmer,ސުލްހަޔަށް ކުރާ ކޮންމެ ކަމަކުން މަގު ފަހިވާންޖެހޭނީ ފަލަސްތީނުގެ ދައުލަތަކަށް: ސްޓާމާ
Zarooree beynun thakah Male dhathuru kuraa faraiythakah Maldivian in haassa agu thakeh,ޒަރޫރީ ބޭނުންތަކަށް މާލެ ދަތުރު ކުރާ ފަރާތްތަކަށް މޯލްޑިވިއަން އިން  ހާއްސަ އަގުތަކެއް
Cancer aa hanguraama kuramun anna Hina boa baalaifi,ކެންސަރާ ހަނގުރާމަ ކުރަމުން އަންނަ ހީނާ ބޯ ބާލައިފި
hallu hoadhan thafaathu hiyaalu thakeh,މެމްބަރުންގެ އަދަދު ހިފަހައްޓަން މުޅި މަޖިލިސް ތާއީދު، ހައްލު ހޯދަން ތަފާތު ހިޔާލުތަކެއް!
4000 flat massalaige thahugeegag ACC in ministry ah vadhejje,4000 ފްލެޓް މައްސަލައިގެ ތަހުގީގަށް އޭސީސީން މިނިސްޓްރީއަށް ވަދެއްޖެ
Addu Mathikilhi eco garden ah vanumah fee nagan fashaifi,އައްޑޫ މަތިކިޅި އިކޯ ގާޑަން އަށް ވަނުމަށް ފީ ނަގަން ފަށައިފި
Haradhu kudanukoh tax bodukuraanama gaumu indha jehidhaane: Siyam,ހަރަދު ކުޑަނުކޮށް ޓެކްސް ބޮޑުކުރާ ނަމަ ގައުމު އިނދަޖެހިދާނެ: ސިޔާމް
Eydhafushi gai beleniveriyakaa nulai reygandu beyrugai ulhey kudhinge mauloomaathu eh kuran fashaifi,އޭދަފުށީގައި ބެލެނިވެރިޔަކާ ނުލައި ރޭގަނޑު ބޭރުގައި އުޅޭ ކުދިންގެ މައުލޫމާތު އެއްކުރަން ފަށައިފި
PSM ge finance department ge veriaku,ޕީއެސްއެމް ފައިނޭންސް ޑިޕާޓްމަންޓުގެ ވެރިއަކު ސަސްޕެންޑު ކޮށްފި
Raajjeyge igthisaadhu sindhafaathu kurumah thauleemu export kurevidhaane tha?,ރާއްޖޭގެ އިގުތިސާދު ސިންދަފާތު ކުރުމަށް ތައުލީމު އެކްސްޕޯޓް  ކުރެވިދާނެތަ؟
Housefull 5 ah 4 dhuvas therey gai bodu aamadhanee eh libijje,"""ހައުސްފުލް 5""އަށް ހަތަރު ދުވަސް ތެރޭގައި ބޮޑު އާމްދަނީއެއް ލިބިއްޖެ"
Ticket ves gaiy fahun visa hamanujehi 15 meehakah ITB fair ah nudhevunu,ޓިކެޓް ގަތް ފަހުން ވިސާ ހަމަނުޖެހި 15 މީހަކަށް އައިޓީބީ ފެއާއަށް ނުދެވުނު
X gai followers gina nama verification hiley,އެކްސްގައި ފޮލޯވަރުން ގިނަ މީހުންނަށް ވެރިފިކޭޝަން ހިލޭ
Furathama 2 match in natheejaa nunerevigen cricket team ah furusathu gellijje,ފުރަތަމަ ދެ މެޗުން ނަތީޖާ ނުނެރެވި ކްރިކެޓް ޓީމަށް ފުރުސަތު ގެއްލިއްޖެ
Furathama Junior League Champion kan Kaiputty ah,ފުރަތަމަ ޖޫނިއާ ލީގު ޗެމްޕިއަންކަން ކައިޕުޓީ އަށް
Gaadhoo gai Bunkering hidhumathaa eku L. Atolhuge malamathi badhalu kohlaane bodethi mashroou thakeh,ގާދޫގައި ބަންކަރިން ހިދުމަތަކާ އެކު ލ. އަތޮޅުގެ މަލަމަތި ބަދަލުކޮށްލާނެ ބޮޑެތި މަޝްރޫއުތަކެއް
Dhiraagu in dhey launch ge naseebuveriyaa hovaifi,ދިރާގުން ދޭ ލޯންޗް ލިބޭ ނަސީބުވެރިޔާ ހޮވައިފި
Bayaku suspend koffin: PSM,ލައިވްގައި ގުރުއާނުން ތަންކޮޅެއް އުނިވީ ކޮންޓްރޯލްގެ އިހުމާލުން، ބަޔަކު ސަސްޕެންޑްކޮށްފިން: ޕީއެސްއެމް
Ijuraathaa eggothha gaanoonu asaasee ah genna badhalu court thakah nubeleyne: AG Office,އިޖުރާއަތާ އެއްގޮތަށް ގާނޫނުއަސާސީ އަށް ގެންނަ ބަދަލު ކޯޓުތަކަށް ނުބެލޭނެ: އޭޖީ
Ehves ehbasvumeh gai sihreh noannaane: Ghassan,އެއްވެސް އެއްބަސްވުމެއްގައި ސިއްރެއް ނޯންނާނެ: ޣައްސާން
Error: Request failed with status code 504 **********,"ID: 140445, Error: Request failed with status code 504 **********"
Vinicius ge hat-trick in Barca bali koh champion kan Real ah,ވިނީޝިއަސްގެ ހެޓްރިކުން ބާސާ ބަލިކޮށް ޗެމްޕިއަންކަން ރެއާލަށް
3 mas thereygai Sovereign Fund ah 30 million dollar jamaa koffin: Saeed,ތިން މަސްތެރޭގައި ސޮވެރިން ފަންޑަށް 30 މިލިއަން ޑޮލަރު ޖަމާކޮށްފިން: ސައީދު
Flat list anna hafthaa gai iulaan koh mi aharu nimumuge kurin havaalu kuranee,ފްލެޓް ލިސްޓް އަންނަ ހަފުތާގައި އިއުލާންކޮށް، މި އަހަރު ނިމުމުގެ ކުރިން ހަވާލުކުރަނީ
Amila gothun hovunu party eh ge member eh ge gondi ah vaane gothaa medhu suvaalu,އަމިއްލަ ގޮތުން ހޮވުނު ޕާޓީއެއްގެ މެންބަރެއްގެ ގޮނޑިއަށް ވާނެ ގޮތާ މެދު ސުވާލު
Muli gai karantu kendi asaasee hagguthah huttifaivaathee HRCM ge kanboduvun,މުލީގައި ކަރަންޓު ކެނޑި އަސާސީ ހައްގުތައް ހުއްޓިފައިވާތީ އެޗްއާރުސީއެމްގެ ކަންބޮޑުވުން
14 Rufiya ge chocolate eh vagah negi meeheh 15 dhuvahah bandhah,ސާދަ ރުފިޔާގެ ޗޮކްލެޓެއް ވަގަށް ނެގުމުން 15 ދުވަހަށް ބަންދަށް
Ronaldo aa eku selfie nagan dhandah eri massala'ige thahugeegu UEFA in fashaifi,ރޮނާލްޑޯއާއެކު ސެލްފީނަގަން ދަނޑަށް އެރި މައްސަލައިގެ ތަހުގީގު ޔޫއެފާއިން ފަށައިފި
Eva ge uzuru gaboolunukoh Jalsaa baavvaidheyn majileehun vanee edhifai,އީވާގެ އުޒުރު ގަބޫލުނުކޮށް ޖަލްސާ ބާއްވައިދޭން މަޖިލީހުން ވަނީ އެދިފައި
Raees ge suvaaleh MDP ah: Majority libigen flat dheveynama mihaaru ekan nukuranee keevve?,ރައީސްގެ ސުވާލެއް އެމްޑީޕީއަށް: މެޖޯރިޓީ ލިބިގެން ފްލެޓު ދެވޭނަމަ މިހާރު އެކަން ނުކުރަނީ ކީއްވެ؟
vikkanee,އަކުއަ ވީޓާގެ އިންތިޒާރަށް ނިމުން: އެޕާޓްމަންޓުތައް ނިންމައި ވިއްކަނީ
Bidheyseenge biometrics update kuran fahu furusatu dheefi,ބިދޭސީންގެ ބަޔޯމެޓްރިކްސް އަޕްޑޭޓުކުރަން ފަހު ފުރުސަތު ދީފި
Mavin salaamaiy kuraane kamah Lamha buni: hekkeiy,މާވިން ސަލާމަތް ކުރާނެ ކަމަށް ލަމްހާ ބުނި: ހެއްކެއް
Ooredoo ge Fun Run Laamu gai baavvanee,"އުރީދޫގެ ""ފަން ރަން"" ލ. ގަމުގައި ބާއްވަނީ"
Yameen ge maru: Sirru hekkakee ekamugai baiverivi meeheh,ޔާމީންގެ މަރުގެ މައްސަލާގައި ސިއްރުން ހެކިބަސް ދިނީ އެކަމުގައި ތުހުމަތުވެ، ދައުލަތުން ދައުވާކުރި މީހެއް: ވަކީލުން
emme bodu cruise ship ge dhathuruthah fashaifi,ދުނިޔޭގެ އެންމެ ބޮޑު ކުރޫޒް ލައިނާ ދަތުރުތައް ފަށައިފި
India sifain vanee masverin ge phone thah athulai heki nahthaalaafai,އިންޑިއާ ސިފައިން ވަނީ މަސްވެރިންގެ ފޯނުތައް އަތުލައި ހެކި ނައްތާލާފައި
halleh hoadhaidheynan: Raees,ބިދޭސީންގެ އިންސާނީ ހައްގުތައް ވަނީ ނިގުޅައިގެންފައި، ހައްލެއް ހޯދައިދޭނަން: ރައީސް
Aniyaa thakaa dhekolhah 16 gadi iru ge telethon eh baavvanee,އަނިޔާތަކާ ދެކޮޅަށް 16 ގަޑިއިރުގެ ޓެލެތޯންއެއް ބާއްވަނީ
Beyruge 5 Hospital akun dhivehi doctor innah internship ge furusathu fahi vejje,ބޭރުގެ ފަސް ހޮސްޕިޓަލަކުން ދިވެހި ޑޮކްޓަރުންނަށް އިންޓާންޝިޕްގެ ފުރުސަތު ފަހިވެއްޖެ
Shakuvaa balaa nimmai dhauru nimumuge kurin flat thakuge liyun havaalu kuraane kamuge yageen kan ministry in dheefi,ޝަކުވާތައް ބަލާ ނިންމައި ދައުރު ނިމުމުގެ ކުރިން ފްލެޓްތަކުގެ ލިޔުން ހަވާލުކުރާނެ ކަމުގެ ޔަގީންކަން މިނިސްޓްރީން ދީފި
Alhugandakee abadhuves PPM ge loabi hithugai onna meeheh: Nazim,"އަޅުގަނޑަކީ އަބަދުވެސް ""ޕީޕީއެމްގެ ލޯބި"" ހިތުގައި އޮންނަ މީހެއް: ނާޒިމް"
Ameenee magu ge baakee bai hadhan fashaanee anna mahu: Akram,އަމީނީމަގުގެ ބާކީ ބައި ހަދަން ފަށާނީ އަންނަ މަހު: އަކްރަމް
Masthuvaathakethi beynun kuri kamah thuhumathuvaa nurse suspend koffi,މަސްތުވާތަކެތި ބޭނުންކުރި ކަމަށް ތުހުމަތުވާ ނަރުސް ސަސްޕެންޑްކޮށްފި
Minivan dhuvahuge rasmiyyaathah Modi Raajje ah vadaigannavanee,މިނިވަން ދުވަހުގެ ރަސްމިއްޔާތަށް މޯދީ ރާއްޖެއަށް ވަޑައިގަންނަވަނީ: ރިޕޯޓު
Lh. Zone ge final ah Six Senses Kanuhura,ޅ. ޒޯންގެ ފައިނަލަށް ސިކްސް ސެންސެސް ކަނުހުރާ
Anas ge maru ge dhauvaa libey meehun bandhu nukuran High court inn ninmaifi,އަނަސްގެ މަރުގެ ދައުވާލިބޭ މީހުން ބަންދު ނުކުރަން ހައި ކޯޓުން ނިންމައިފި
vote foshi bahattaanee beyruge 3 gaumehgai,މަޖިލިސް އިންތިހާބު: ރީ-ރަޖިސްޓްރޭޝަނަށް 11،000 އަށްވުރެ ގިނަ ފޯމު، ވޯޓު ފޮށި ބަހައްޓާނީ ބޭރުގެ ތިން ގައުމެއްގައި
Vaccine varah madhu,ދުނިޔޭގައި ކޮލެރާ ގިނަވަނީ، ވެކްސިން ވަރަށް މަދު
Bayern ah libunu dhera balaa!,ރެއާލްގެ ކުރިމަތީ މާ އަވަހަށް އުފާފާޅު ނުކުރާތި، ބެޔާނަށް ލިބުނު ދެރަ ބަލާ!
Varugadha France salaamieyy vee  Austria athun bai kolhah vaieyy goal akun,ވަރުގަދަ ފްރާންސް ސަލާމަތްވީ އޮސްޓްރިއާ އަތުން ބައިިކޮޅަށް ވަތް ގޯލަކުން
Error: Request failed with status code 504 **********,"ID: 143932, Error: Request failed with status code 504 **********"
Thimarafuttaai Eydhafushi adhi Kurendhoo thashi dhifaau kuri,ގަން ބަލިކޮށް ލ. ތަށި އިސްދޫއަށް، ތިމަރަފުއްޓާއި އޭދަފުށި އަދި ކުރެންދޫން ތަށި ދިފާއުކުރި
diving aai moodhu harakaiythakugai emme uhah!,ސިލްވާ ސޭންޑްސްގެ 25 އަހަރުގެ ކާމިޔާބީގެ ދަތުރު، ޑައިވިން އާއި މޫދު ހަރަކާތްތަކުގައި އެންމެ އުހަށް!
balaigannanee one-china: Sarukaaru,ރާއްޖެ އިން ތައިވާނާ ގުޅުމެއް ނުބާއްވާނަން، ބަލައިގަންނާނީ ވަން-ޗައިނާ ޕޮލިސީ: ސަރުކާރު
Yemen aai Israel in radhdhu nudhee hamajehun gaaimukuran Saudi in govaalaifi,އިޒްރޭލާއި ޔަމަނުން ހާލަތު ގޯސް ނުކުރަން ސައޫދީން ގޮވާލައިފި
Kuwait ge Ameeru Avahaaravumun dhivehi dhidha baidhandi ah thiri kuranee,ކުވޭތުގެ އަމީރު އަވަހާރަވުމުން ދިވެހި ދިދަ ބައި ދަނޑިއަށް ތިރިކުރަނީ
India in mi faharu Oscar ah gendhanee Laapataa Ladies,"އިންޑިއާއިން މިފަހަރު އޮސްކާއަށް ގެންދަނީ ""ލާޕަތާ ލޭޑީސް"""
Drone medhu verikoh anna aharu rah rashah beys fonuvan fashanee,ޑްރޯން މެދުވެރިކޮށް އަންނަ އަހަރު ރަށްރަށަށް ބޭސް ފޮނުވަން ފަށަނީ
Raajjein nahthaalaafaivaa Filaria bali jehifaivaa bayaku fenijje,ފައިލޭރިޔާ ބަލި ޖެހިފައިވާ ބަޔަކު ކުޅުދުއްފުށިން ފެނިއްޖެ
Fuvahmulaku ge vidhun Thimarafushin fandu kohlaifi,ފުވައްމުލަކުގެ ވިދުން ތިމަރަފުށިން ފަނޑުކޮށްލައިފި
ނަތީޖާއަކީ މެޖޯރިޓީ އޮތް ރަށްތަކެއް ޕީޕީއެމަށް ގެއްލުން: ރައީސް,"ފިކުރުގެ ތަފާތެއް ނުކުރަން, ނަތީޖާއަކީ މެޖޯރިޓީ އޮތް ރަށްތަކެއް ޕީޕީއެމަށް ގެއްލުން: ރައީސް"
turnout 75 percent gai,ބޮޑެތި މައްސަލަތައް ނެތް އިންތިހާބެއް، ޓާންއައުޓް 75 ޕަސެންޓްގައި
e kamaku ei skate kurumuge 1 vana,"އަރުޝީގެ އުމުރުން އެންމެ ހަ އަހަރު، އެކަމަކު އެއީ ސްކޭޓް ކުރުމުގެ ""އެއްވަނަ"""
Short Story: Marujaanu Saudhaagaru,ކުރުވާހަކަ: މަރުޖާނު ސައުދާގަރު
VAAHAKA- Hibaa,ވާހަކަ- ހިބާ
ulhandhuthah dhuvvaanee e gaumuge civilianun: Dhivehi sarukaaru,އިންޑިއާ ސިފައިން ފައިބައި، އުޅަނދުތައް ދުއްވާނީ އެ ގައުމުގެ ސިވިލިއަނުން: ދިވެހި ސަރުކާރު
Holhudhoo in Muizzu ah ah bihuge sharafeh,"ހޮޅުދޫން މުއިއްޒަށް ""ބިހުގެ"" ޝަރަފެއް"
BML ge ninmun lafaa dhin gothaa hilaafu: Sarukaaru,ބީއެމްއެލް އިން ނިންމީ ލަފާ ދިން ގޮތާ ޚިލާފަށް: ސަރުކާރު
Bollywood ge tharin bully kuraa kamah bune Babil roefi,ބޮލީވުޑްގެ ތަރިން ބުލީކުރާ ކަމަށް ބުނެ ބާބިލް ރޮއެފި
Roavi 3 ministry ge masakkaiythah vaguthee gothun Dharubaaru ge ah,ރޯވި ތިން މިނިސްޓްރީގެ މަސައްކަތްތައް ވަގުތީ ގޮތުން ދަރުބާރުގެއަށް
Ooredoo ge Doha marathon ah dhaa 2 dhivehin hovaivi,އުރީދޫގެ ދޯހާ މެރަތަންއަށް ދާ ދެ ދިވެހިން ހޮވައިފި
Resort eh gai meehaku genbigen maruvejje,ރިސޯޓެއްގައި މީހަކު ގެނބިގެން މަރުވެއްޖެ
000 aka footuge bimeh,ސިޓީ ހޮޓަލުގެ ބަދަލުގައި އެސްޓީއޯއަށް 40،000 އަކަފޫޓުގެ ބިމެއް
kaaboathaketheege hidhumaiy dhey 3 thaneh nuthaahirukamun bandhukoffi,ކާބޯތަކެތީގެ ހިދުމަތް ދޭ ތިން ތަނެއް ނުތާހިރުކަމުން ބަންދުކޮށްފި
Muli Airport hulhuvvaidhevvaifi,ރައީސް، މުލީ އެއާޕޯޓް ހުޅުއްވައިދެއްވައިފި
BOQ ves nuhadhaa,ފެނަކައިން އޭސީސީއަށް ހުށަހެޅި މައްސަލަތަކުގެ އަގު ބައި ބިލިއަނަށް ވުރެ ގިނަ، ބީއޯކިޔުއެއް ވެސް ނުހަދާ
3 atholhegge dhan'duverinnah haassa koh 15 million Rf ge grant scheme eh fashanee,ތިން އަތޮޅެއްގެ ދަނޑުވެރިންނަށް ހާއްސަކޮށް 15 މިލިއަން ރުފިޔާގެ ގްރާންޓް ސްކީމެއް ފަށަނީ
Kuran nukuran ulhey Thulhaadhoo airport alhaafai dhakkaanan: Muizzu,ކުރަން ނުކުރަން އުޅޭ ތުޅާދޫ އެއާޕޯޓް އަޅާފައި ދައްކާނަން: މުއިއްޒު
Boafen huskuri 40 fulheegai banguraa gendhiya 2 bidheysee aku hayyaru koffi,ބޯފެން ހުސްކުރި 40 ފުޅީގައި ބަނގުރާ ހިފައިގެން ދިޔަ ދެ ބިދޭސީއަކު ހައްޔަރުކޮށްފި
2 budget husha alhan ithuru jalsaa eh maadhamaa baavvanee,ނަޝީދު ވަކިކުރާ ގަރާރުގެ ކުރިއަށް، ދެ ބަޖެޓު ހުށަހަޅަން އިތުރު ޖަލްސާއެއް މާދަމާ ބާއްވަނީ
Rafiu faahaga kurevvee Dheemaa ge main-bafain ge gurubaanee,ޝުކުރުވެރިކަމާ އެކު، ރާފިއު ފާހަގަކުރެއްވީ ދީމާގެ މައިންބަފައިންގެ ގުރުބާނީ
Aviation Security Command in gellumuge badhaluge gothugai 13 million rufiyaa heydha koffi,އޭވިއޭޝަން ސެކިއުރިޓީ ކޮމާންޑުން ގެއްލުމުގެ ބަދަލަށް 13 މިލިއަން  ހޭދަކޮށްފި
Hulhumale farah eri ulhandhu thakah 29 million rufiya ge joorimanaa eh,ހުޅުމާލެ ފަރަށް އުޅަނދުތަކެއް އެރުމުން ބޮޑު ގެއްލުމެއް، 29 މިލިއަން ރުފިޔާގެ ޖޫރިމަނާއެއް
Haafizunnah dhey allowance anna mahun feshigen 2 guna bodu kuranee,ހާފިޒުންނަށް ދޭ އެލަވަންސް އަންނަ މަހުން ފެށިގެން ދެ ގުނަ ބޮޑުކުރަނީ
Russia ge boat eggai govunthakeh govumah fahu fethijje,ރަޝިޔާގެ ބޯޓެއް ފެތިއްޖެ، ތުހުމަތުކުރަނީ ޓެރަރިސްޓް ހަމަލާއެއް ކަމަށް
Sarukaaru ge 8 kunfugnehgge Managing Director innah anhenun hamajassanee,ސަރުކާރުގެ އަށް ކުންފުންޏެއްގެ އެމްޑީންނަށް އަންހެނުން ހަމަޖައްސަނީ
Gaza ge muvaasalaathee gulhunthah anekkaa ves kandaalaifi,ގާޒާގެ މުވާސަލާތީ ގުޅުންތައް އަނެއްކާ ކަނޑާލައިފި
Ley hadhiya kuran Alia in  Honihiru dhuvahu camp eh bavvanee,ލޭ ހަދިޔާކުރަން އެލިއާއިން ހޮނިހިރު ދުވަހު ކޭމްޕެއް ބާއްވަނީ
Error: Request failed with status code 504 **********,"ID: 128186, Error: Request failed with status code 504 **********"
Kandu ge sarahadhdhu hoadhumuge dhiraasaa kuran beyru ge 2 expertunnaa havaalu kohffi,ކަނޑުގެ ސަރަހައްދު ހޯދުމުގެ ދިރާސާ ކުރަން ބޭރުގެ ދެ އެކްސްޕާޓުންނާ ހަވާލުކޮށްފި
Story: Jadhalu,ޖަދަލު
000 tonne ge mudhaa handle kurevey VIA aa cargo terminal huluvaifi,120،000 ޓަނުގެ މުދާ ހޭންޑަލްކުރެވޭ ވީއައިއޭ އާ ކާގޯ ޓާމިނަލް ހުޅުވައިފި
000 aka kilometer gai eba oiy kamah bunefi,ޔުކްރެއިން ސިފައިން ރަޝިޔާގެ 1،000 އަކަ ކިލޯމީޓަރު ކޮންޓްރޯލްކުރާ ކަމަށް ބުނެފި
Brain and spine conference September gai bavvanee,ބްރެއިން އެންޑް ސްޕައިން ކޮންފަރެންސް ސެޕްޓެމްބަރުގައި ބާއްވަނީ
Eid namaadhah vadaigathumugai keerithi rasoolaa amalu kurevvi goiy,އީދު ނަމާދަށް ވަޑައިގަތުމުގައި ކީރިތި ރަސޫލާ އަމަލުކުރެއްވީ ކިހިނެއް؟
Candidate eh ge form balainugathumah ninmee goas koh kamah Supreme court in hukum koffi,ކެންޑިޑޭޓެއްގެ ފޯމް ބަލައިނުގަތުމަށް ނިންމީ ގޯސްކޮށް ކަމަށް ސުޕްރީމް ކޯޓުން ހުކުމްކޮށްފި
Fenakai ge kuree ge MD Saeed ge passport hifahattaifi,ފެނަކައިގެ ކުރީގެ އެމްޑީ ސައީދުގެ ޕާސްޕޯޓް ހިފަހައްޓައިފި
Foreign secretary ge magaamun Inaya vakivevadaigenfi,ފޮރިން ސެކްރެޓަރީގެ މަގާމުން އިނާޔާ ވަކިވެވަޑައިގެން ކުރިން ހުންނެވި މަގާމަށް
Benzema nulai ves Ittihad ah furihama molheh,އޭއެފްސީ ޗެމްޕިއަންސް ލީގު: ނޭމާގެ ހިލާލް ސަލާމަތްވީ ކިރިޔާ، ބެންޒެމާ ނެތި ވެސް އިއްތިހާދަށް ފުރިހަމަ މޮޅެއް
Shammaan Shareeai nimendhen bandhu kuree rangalhah: HC,ޝަމްއާން ޝަރީއަތް ނިމެންދެން ބަންދުކުރީ ރަނގަޅަށް: ހައި ކޯޓް
Drug storage gai massala eh ulheytho balan 241 committee ah dhauvathu,ޑްރަގް ސްޓޯރޭޖްގައި މައްސަލައެއް އުޅޭތޯ ބަލަން 241 ކޮމިޓީ އަށް ދައުވަތު!
Singapore Airline ge aa aharuge offer thah anna mahuge niyalah,ސިންގަޕޯ އެއާލައިންގެ އާ އަހަރުގެ އޮފާތައް އަންނަ މަހުގެ ނިޔަލަށް
200 million rufiyaa in dharaafai,އާރްޑީސީ: ކުންފުނި ހުއްޓި 200 މިލިއަން ރުފިޔާގެ ބޮޑު ދަރަންޏެއް
anna mahu meehun fonuvan fashaane,އާސަންދައިން ޔޫއޭއީ/ބެންކޮކްގެ ތިން ހޮސްޕިޓަލަކާ އެކު ސޮއިކޮށްފި، އަންނަ މަހު މީހުން ފޮނުވަން ފަށާނެ
Raajjje ge footboalhaife vaseelaiyy thah miah vure harudhanaa vaan jehey: Luisma,ރާއްޖޭގެ ފުޓްބޯޅައިގެ ވަސީލަތްތައް މިއަށްވުރެ ހަރުދަނާވާން ޖެހޭ: ލުއިސްމާ
HA. Atholhuge 10 rashakah Raees furaavadaigenfi,ހއ. އަތޮޅުގެ 10 ރަށަކަށް ރައީސް ފުރާވަޑައިގެންފި
Council thakun Dubai aai Turkey ah beykaaru dhathuruthah kuraathee Nazim ge faaduvidhaalhuvun!,ކައުންސިލްތަކުން ދުބާއީ އާއި ތުރުކީއަށް ބޭކާރު ދަތުރުތައް ކުރާތީ ނާޒިމްގެ ފާޑުވިދާޅުވުން!
Adh. Ariyadhoo Ministry ah nagai Ruh aalaa kuran fashanee,އދ. އަރިޔަދޫ މިނިސްޓްރީއަށް ނަގައި، ރުއް އާލާކުރަން ފަށަނީ
Hulhumeedhoo ah Muizzu: Ice plant mas factory akah badhalu koh 500 vazeefa ufahdhaane,ހުޅުމީދުއަށް މުއިއްޒު: އައިސްޕްލާންޓް މަސް ފެކްޓަރީއަކަށް ބަދަލުކޮށް 500 ވަޒީފާ އުފައްދާނެ
Dhuvaarumatheegai vehicle park kurun huttuvan bollard jahanee,ދުވާރުމަތީގައި ވެހިކަލް ޕާކުކުރުން ހުއްޓުވަން ބޮލާޑް ޖަހަނީ
hiyaalufaalhukurumuge minivan kamuge roohaa hilaafu: HRCM,އަނިޔާވެރި އަމަލުތަކަށް ހިތްވަރު ދިނުން ހިޔާލުފާޅުކުރުމުގެ މިނިވަންކަމުގެ ރޫހާ ހިލާފު: އެޗްއާރްސީއެމް
PCB ge Raees Ageel aai 5peo member innah ruhun dheefi,ޕީސީބީގެ ރައީސް އަގީލާއި ފަސް މެންބަރުންނަށް ރުހުން ދީފި
Error: Request failed with status code 504 **********,"ID: 140578, Error: Request failed with status code 504 **********"
India ah badhu bas buni massala thakuraaru nuvaane kamuge yageen kan dheefi,އިންޑިއާ އަށް ބަދުބަސް ބުނި މައްސަލަ ތަކުރާރު ނުވާނެ ކަމުގެ ޔަގީންކަން ދީފި
Teacharun ge bura lui kurun: mi aharu vaanee muhimmu aharakah,ޓީޗަރުންގެ ބުރަ ލުއިކުރުން: މި އަހަރު ވާނީ މުހިންމު އަހަރަކަށް
